zip,premium,claim_freq_avg,claim_freq_peak,loss_ratio_peak,claim_severity_avg,nonrenewal
02066,2883.0,0.0595,0.0913,0.52,18858.0,0.0064
02067,2080.0,0.0495,0.0879,0.651,16741.0,0.009
02071,1895.0,0.0407,0.0573,0.449,16113.0,0.0047
02072,1726.0,0.0487,0.0799,0.601,14496.0,0.0103
02081,1958.0,0.0412,0.0533,0.365,13233.0,0.0083
02090,2460.0,0.0453,0.0656,0.539,23656.0,0.0079
02093,1967.0,0.0397,0.0511,0.385,16343.0,0.005
02108,11504.0,0.0727,0.0876,2.156,105080.0,0.0168
02113,2410.0,0.0525,0.0705,0.863,19837.0,0.0164
02114,4284.0,0.0574,0.0696,1.463,46569.0,0.0201
02115,3184.0,0.0534,0.0903,3.054,36946.0,0.0274
02116,5064.0,0.0441,0.0575,0.729,43844.0,0.0179
02118,3510.0,0.0505,0.0719,0.41,21872.0,0.0225
02119,2533.0,0.052,0.08,0.389,14996.0,0.0169
02120,2079.0,0.0345,0.0478,1.608,23649.0,0.0123
02121,3124.0,0.0564,0.069,0.636,19889.0,0.0275
02122,2320.0,0.0419,0.0568,0.784,27795.0,0.0184
02124,2609.0,0.0509,0.0668,0.686,27024.0,0.0133
02125,2631.0,0.0435,0.0587,0.377,20435.0,0.0162
02126,2373.0,0.0604,0.0816,0.673,18671.0,0.0136
02127,2584.0,0.0319,0.0385,0.352,16272.0,0.0164
02128,2355.0,0.0463,0.0714,0.306,13706.0,0.0172
02129,2836.0,0.0382,0.0467,0.411,21159.0,0.0156
02130,2537.0,0.037,0.0496,0.411,22072.0,0.0175
02131,2049.0,0.0362,0.0569,0.393,18711.0,0.0107
02132,1971.0,0.0358,0.0439,0.248,14483.0,0.0069
02134,2152.0,0.0383,0.0595,0.415,17024.0,0.0277
02135,2098.0,0.0331,0.0388,0.226,12618.0,0.0168
02136,1956.0,0.0502,0.0732,0.536,17746.0,0.0102
02138,4167.0,0.0427,0.056,0.248,17306.0,0.0111
02139,2493.0,0.0333,0.0424,0.237,14146.0,0.0124
02140,2597.0,0.0397,0.0461,0.373,18868.0,0.0106
02141,2008.0,0.0261,0.0504,0.348,16331.0,0.0084
02143,2285.0,0.0338,0.0491,0.288,12610.0,0.0113
02144,2346.0,0.0369,0.0464,0.661,27762.0,0.0131
02145,2167.0,0.0321,0.0402,0.343,21097.0,0.0188
02148,1794.0,0.0377,0.0536,0.349,15081.0,0.0124
02149,1885.0,0.0387,0.053,0.531,20064.0,0.0137
02150,2371.0,0.0422,0.0633,0.453,11844.0,0.0223
02151,2348.0,0.0387,0.0588,0.431,17148.0,0.0103
02152,2666.0,0.0415,0.0591,0.317,15848.0,0.01
02155,1864.0,0.035,0.0489,0.333,15167.0,0.0121
02169,1835.0,0.0435,0.0669,0.407,14847.0,0.0137
02170,1810.0,0.0346,0.0485,0.406,17937.0,0.0183
02171,1848.0,0.0355,0.0452,0.364,13120.0,0.0164
02176,1875.0,0.0378,0.0526,0.357,18570.0,0.0078
02180,1725.0,0.0372,0.0462,0.44,16537.0,0.0091
02184,1860.0,0.043,0.0657,0.438,14888.0,0.0087
02186,2400.0,0.0543,0.075,0.521,16883.0,0.0094
02188,1707.0,0.049,0.0691,0.482,10786.0,0.0116
02189,1748.0,0.044,0.0552,0.586,17471.0,0.0095
